attack_id,true_var,attack_type,description
TEP_test_cons_m2s_a1,D feed (MV);D Feed,Integrity,
TEP_test_cons_m2s_a10,Reactor Coolant (MV);Reactor Coolant Temp,Integrity,
TEP_test_cons_m2s_a11,Condenser Coolant (MV);Separator Coolant Temp,Integrity,
TEP_test_cons_m2s_a2,E Feed (MV);E Feed,Integrity,
TEP_test_cons_m2s_a3,A Feed (MV);A Feed,Integrity,
TEP_test_cons_m2s_a4,A and C Feed (MV);A and C Feed,Integrity,
TEP_test_cons_m2s_a6,Purge (MV);Purge Rate,Integrity,
TEP_test_cons_m2s_a7,Separator (MV);Product Sep Level,Integrity,
TEP_test_cons_m2s_a8,Stripper (MV);Stripper Level,Integrity,
TEP_test_cons_m2s_s1,A Feed;A Feed (MV),Integrity,
TEP_test_cons_m2s_s10,Purge Rate;Purge (MV),Integrity,
TEP_test_cons_m2s_s11,Product Sep Temp,Integrity,
TEP_test_cons_m2s_s12,Product Sep Level;Separator (MV),Integrity,
TEP_test_cons_m2s_s14,Product Sep Underflow,Integrity,
TEP_test_cons_m2s_s15,Stripper Level;Stripper (MV),Integrity,
TEP_test_cons_m2s_s17,Stripper Underflow,Integrity,
TEP_test_cons_m2s_s2,D Feed;D feed (MV),Integrity,
TEP_test_cons_m2s_s23,Comp A to Reactor,Integrity,
TEP_test_cons_m2s_s25,Comp C to Reactor,Integrity,
TEP_test_cons_m2s_s3,E Feed;E Feed (MV),Integrity,
TEP_test_cons_m2s_s4,A and C Feed;A and C Feed (MV),Integrity,
TEP_test_cons_m2s_s40,Comp G in Product,Integrity,
TEP_test_cons_m2s_s7,Reactor Pressure,Integrity,
TEP_test_cons_m2s_s8,Reactor Level,Integrity,
TEP_test_cons_m2s_s9,Reactor Temperature,Integrity,
TEP_test_cons_p2s_a1,D feed (MV);D Feed,Integrity,
TEP_test_cons_p2s_a10,Reactor Coolant (MV);Reactor Coolant Temp,Integrity,
TEP_test_cons_p2s_a2,E Feed (MV);E Feed,Integrity,
TEP_test_cons_p2s_a3,A Feed (MV);A Feed,Integrity,
TEP_test_cons_p2s_a4,A and C Feed (MV);A and C Feed,Integrity,
TEP_test_cons_p2s_a6,Purge (MV);Purge Rate,Integrity,
TEP_test_cons_p2s_a7,Separator (MV);Product Sep Level,Integrity,
TEP_test_cons_p2s_a8,Stripper (MV);Stripper Level,Integrity,
TEP_test_cons_p2s_s1,A Feed;A Feed (MV),Integrity,
TEP_test_cons_p2s_s10,Purge Rate;Purge (MV),Integrity,
TEP_test_cons_p2s_s11,Product Sep Temp,Integrity,
TEP_test_cons_p2s_s12,Product Sep Level;Separator (MV),Integrity,
TEP_test_cons_p2s_s14,Product Sep Underflow,Integrity,
TEP_test_cons_p2s_s15,Stripper Level;Stripper (MV),Integrity,
TEP_test_cons_p2s_s17,Stripper Underflow,Integrity,
TEP_test_cons_p2s_s2,D Feed;D feed (MV),Integrity,
TEP_test_cons_p2s_s23,Comp A to Reactor,Integrity,
TEP_test_cons_p2s_s25,Comp C to Reactor,Integrity,
