Method,seed,tau,f1_iid,f1_tds,performance_drop,worst_case_recall,instability,prr,recall_tds,precision_tds,auc_tds
ModernTCN,0,0.01,0.8787519077497032,0.8543543543543544,0.02439755339534888,0.61,0.040581299768436455,0.943261472863943,0.8128571428571428,0.9003164556962026,0.8957241071428572
ModernTCN,1,0.38,0.895242643108697,0.8211866146581811,0.07405602845051584,0.0,0.03899817697291875,0.859162174004153,0.7142857142857143,0.9657170449058425,0.8788107142857142
ModernTCN,2,0.01,0.9024583663758922,0.8741470811220622,0.028311285253829976,0.42727272727272725,0.04271764823308332,0.9325400810587856,0.8235714285714286,0.931340872374798,0.9053842261904761
ModernTCN,3,0.02,0.9009304230791737,0.857755261106781,0.043175161972392684,0.0,0.04123082111428763,0.9210657684741862,0.7860714285714285,0.9438250428816467,0.8830806547619047
ModernTCN,4,0.02,0.8914697172057372,0.8697996918335902,0.021670025372147017,0.45,0.04139433552155783,0.9476271123352936,0.8064285714285714,0.9439799331103679,0.903186755952381
ModernTCN,5,0.23,0.9101290396254424,0.8642266824085005,0.045902357216941914,0.43961352657004826,0.037105624378443454,0.8876106829180856,0.7842857142857143,0.9623137598597721,0.9117660714285714
ModernTCN,6,0.46,0.8932672549256618,0.8204373423044575,0.0728299126212043,0.0,0.038978979149504885,0.8504745795476512,0.6967857142857142,0.9974437627811861,0.8822000000000001
ModernTCN,7,0.04,0.8988670244484198,0.8510212254705647,0.047845798977855125,0.0,0.04165186960051788,0.9082573589340207,0.7589285714285714,0.9685505925250684,0.8954711309523811
ModernTCN,8,0.27,0.892489309160995,0.806269592476489,0.08621971668450601,0.0,0.040945601174308066,0.8387279949096659,0.6889285714285714,0.9717884130982368,0.8532803571428572
ModernTCN,9,0.01,0.9028234886540794,0.884607975341938,0.01821551331214133,0.38095238095238093,0.04271813963798478,0.9460731644921975,0.82,0.9602676704307821,0.9152910714285715
AdapTable (2024),0,0.01,0.7163617354939885,0.7346675274370562,-0.018305791943067695,0.53,0.05699741119422379,1.0700483696105412,0.8128571428571428,0.6702002355712603,0.5719988095238095
AdapTable (2024),1,0.01,0.7486964523054902,0.74048,0.008216452305490174,0.47,0.053642151639134515,1.0179415149919042,0.8264285714285714,0.6707246376811594,0.5965822916666667
AdapTable (2024),2,0.01,0.7295512453850553,0.7536138772887889,-0.02406263190373359,0.44,0.056137139599262,1.0773302107728338,0.8378571428571429,0.6847635726795096,0.5779668154761906
AdapTable (2024),3,0.01,0.7594358363130711,0.7491733585262164,0.01026247778685474,0.64,0.05245827937572801,1.0023252120623296,0.8496428571428571,0.6699521261616446,0.503107738095238
AdapTable (2024),4,0.01,0.740942494475564,0.7585654819084214,-0.017622987432857395,0.33,0.054983019023353064,1.0586162138596595,0.8460714285714286,0.687463726059199,0.5590129464285715
AdapTable (2024),5,0.01,0.7367231638418079,0.7489184425572825,-0.012195278715474545,0.54,0.047520948470600774,1.0497042068361087,0.8346428571428571,0.6791630340017437,0.5669635416666667
AdapTable (2024),6,0.01,0.730546357615894,0.7450153995785378,-0.014469041962643758,0.5700000000000001,0.048333989425095786,1.0485613112100365,0.8207142857142857,0.6821015138023152,0.5800989583333334
AdapTable (2024),7,0.01,0.7556402286172667,0.7579485540821217,-0.0023083254648550433,0.39,0.05358763607433519,1.0139634516226874,0.8471428571428572,0.68574732581671,0.5789123511904761
AdapTable (2024),8,0.01,0.7440491295741766,0.7451104100946372,-0.0010612805204606168,0.14,0.051384372109678715,1.0380647047359188,0.8435714285714285,0.6672316384180791,0.4842877976190476
AdapTable (2024),9,0.01,0.7333842627960275,0.7578879587894398,-0.02450369599341229,0.6,0.05305235160796636,1.0532281746031746,0.8407142857142857,0.6899179366940211,0.5837107142857143
Cao et al. (2023),0,0.37,0.8972446155697269,0.8477551020408163,0.04948951352891062,0.0,0.03962395277020791,0.8972652732810974,0.7417857142857143,0.9890476190476191,0.8929035714285714
