q,Model,Gray Ratio,F1
0.2,RF (Base),0.2475 ± 0.0546,0.8618 ± 0.0006
0.2,XGB (Base),0.1444 ± 0.0535,0.8576 ± 0.0007
0.2,ModernTCN (Base),0.0259 ± 0.0103,0.8291 ± 0.0138
0.2,Avg. Ensemble (Base),0.0877 ± 0.0300,0.8728 ± 0.0044
0.2,UTAR (Proposed),0.1621 ± 0.0086,0.8815 ± 0.0076
0.4,RF (Base),0.3879 ± 0.0572,0.8618 ± 0.0006
0.4,XGB (Base),0.3343 ± 0.1016,0.8576 ± 0.0007
0.4,ModernTCN (Base),0.0360 ± 0.0135,0.8291 ± 0.0138
0.4,Avg. Ensemble (Base),0.1782 ± 0.0746,0.8728 ± 0.0044
0.4,UTAR (Proposed),0.3075 ± 0.0091,0.8835 ± 0.0073
0.6,RF (Base),0.4488 ± 0.0445,0.8618 ± 0.0006
0.6,XGB (Base),0.4409 ± 0.0711,0.8576 ± 0.0007
0.6,ModernTCN (Base),0.0429 ± 0.0168,0.8291 ± 0.0138
0.6,Avg. Ensemble (Base),0.2780 ± 0.1081,0.8728 ± 0.0044
0.6,UTAR (Proposed),0.3999 ± 0.0087,0.8830 ± 0.0068
0.65,RF (Base),0.4591 ± 0.0426,0.8618 ± 0.0006
0.65,XGB (Base),0.4548 ± 0.0617,0.8576 ± 0.0007
0.65,ModernTCN (Base),0.0444 ± 0.0173,0.8291 ± 0.0138
0.65,Avg. Ensemble (Base),0.3005 ± 0.1117,0.8728 ± 0.0044
0.65,UTAR (Proposed),0.4133 ± 0.0082,0.8825 ± 0.0070
0.7,RF (Base),0.4689 ± 0.0399,0.8618 ± 0.0006
0.7,XGB (Base),0.4681 ± 0.0518,0.8576 ± 0.0007
0.7,ModernTCN (Base),0.0462 ± 0.0180,0.8291 ± 0.0138
0.7,Avg. Ensemble (Base),0.3245 ± 0.1112,0.8728 ± 0.0044
0.7,UTAR (Proposed),0.4248 ± 0.0074,0.8824 ± 0.0069
0.75,RF (Base),0.4788 ± 0.0374,0.8618 ± 0.0006
0.75,XGB (Base),0.4785 ± 0.0435,0.8576 ± 0.0007
0.75,ModernTCN (Base),0.0476 ± 0.0192,0.8291 ± 0.0138
0.75,Avg. Ensemble (Base),0.3487 ± 0.1113,0.8728 ± 0.0044
0.75,UTAR (Proposed),0.4349 ± 0.0065,0.8825 ± 0.0069
0.8,RF (Base),0.4887 ± 0.0340,0.8618 ± 0.0006
0.8,XGB (Base),0.4889 ± 0.0329,0.8576 ± 0.0007
0.8,ModernTCN (Base),0.0494 ± 0.0202,0.8291 ± 0.0138
0.8,Avg. Ensemble (Base),0.3752 ± 0.1076,0.8728 ± 0.0044
0.8,UTAR (Proposed),0.4453 ± 0.0068,0.8821 ± 0.0068
0.85,RF (Base),0.5011 ± 0.0290,0.8618 ± 0.0006
0.85,XGB (Base),0.4999 ± 0.0193,0.8576 ± 0.0007
0.85,ModernTCN (Base),0.0525 ± 0.0228,0.8291 ± 0.0138
0.85,Avg. Ensemble (Base),0.4138 ± 0.1000,0.8728 ± 0.0044
0.85,UTAR (Proposed),0.4561 ± 0.0065,0.8820 ± 0.0069
0.9,RF (Base),0.5235 ± 0.0223,0.8618 ± 0.0006
0.9,XGB (Base),0.5122 ± 0.0085,0.8576 ± 0.0007
0.9,ModernTCN (Base),0.0648 ± 0.0395,0.8291 ± 0.0138
0.9,Avg. Ensemble (Base),0.4859 ± 0.0646,0.8728 ± 0.0044
0.9,UTAR (Proposed),0.4748 ± 0.0073,0.8818 ± 0.0069
