Seed Number,Method,Ave. F1,PRR,Worst-Case Recall (P5),Instability (Var)
0,Avg. Ensemble (Base),0.8694254720771394,0.9349747087676272,0.20416666666666666,0.017766672527331
0,ModernTCN (Base),0.8543543543543544,0.943261472863943,0.61,0.040581299768436455
0,RF (Base),0.8627294493216281,0.9654461562834171,0.03774928774928775,0.017426410287167064
0,UTAR (Proposed),0.8878326996197718,1.0014692736367612,0.58,0.0250105286016695
0,XGB (Base),0.8646720824252031,0.9563479105928085,0.13339920948616601,0.018151156027240534
1,Avg. Ensemble (Base),0.8674121405750799,0.9267473982970671,0.0,0.017883148140356197
1,ModernTCN (Base),0.8211866146581811,0.859162174004153,0.0,0.03899817697291875
1,RF (Base),0.8646720824252031,0.9682034632034631,0.046536796536796536,0.017587306088529688
1,UTAR (Proposed),0.875023850410227,0.9770814436885866,0.0851449275362318,0.0271480140096059
1,XGB (Base),0.8700810757366028,0.963581625716228,0.0754985754985755,0.01831363720458667
2,Avg. Ensemble (Base),0.8740978348035284,0.9353641829667402,0.0,0.018605574117341008
2,ModernTCN (Base),0.8741470811220622,0.9325400810587856,0.42727272727272725,0.04271764823308332
2,RF (Base),0.8642857142857143,0.9666948785576506,0.03774928774928775,0.01727691004449241
2,UTAR (Proposed),0.8885890516576715,0.9858461042409528,0.0871212121212121,0.0252960474801955
2,XGB (Base),0.8679542767047694,0.9632788856987663,0.08514492753623187,0.01848474681631135
3,Avg. Ensemble (Base),0.8687474989995998,0.9307587740978744,0.0,0.018427523403152977
3,ModernTCN (Base),0.857755261106781,0.9210657684741862,0.0,0.04123082111428763
3,RF (Base),0.8664688427299704,0.9713518616864342,0.03774928774928775,0.01720320793273445
3,UTAR (Proposed),0.8817535089405883,0.9782460222865468,0.0465367965367965,0.023840058453431
3,XGB (Base),0.8698201720093823,0.9644346839920036,0.13339920948616601,0.018427056160340394
4,Avg. Ensemble (Base),0.8759767581646964,0.9371896269820146,0.0,0.0179050303242271
4,ModernTCN (Base),0.8697996918335902,0.9476271123352936,0.45,0.04139433552155783
4,RF (Base),0.8657599053814311,0.9678830404784707,0.03774928774928775,0.017411974604991436
4,UTAR (Proposed),0.8899595297745231,0.9891327887537992,0.0851449275362318,0.023651107006214
4,XGB (Base),0.8657545112036487,0.9582202713487631,0.08514492753623187,0.01851301676590398
5,Avg. Ensemble (Base),0.8849970811441915,0.9306985861299164,0.37797619047619047,0.017757439883353387
5,ModernTCN (Base),0.8642266824085005,0.8876106829180856,0.43961352657004826,0.037105624378443454
5,RF (Base),0.8640126133228222,0.9653276047261008,0.046536796536796536,0.0175224681501976
5,UTAR (Proposed),0.8889307938902508,0.9735744509369332,0.4891304347826087,0.0275642562509571
5,XGB (Base),0.8679469411997625,0.9604694543758744,0.13339920948616601,0.01843352398493073
6,Avg. Ensemble (Base),0.8709288299155609,0.9282445504475569,0.0,0.01784616615788038
6,ModernTCN (Base),0.8204373423044575,0.8504745795476512,0.0,0.038978979149504885
6,RF (Base),0.8668633235004917,0.971807907395096,0.046536796536796536,0.017265318828202255
6,UTAR (Proposed),0.8787407695297318,0.9720605898838915,0.0754985754985755,0.0258378461834423
6,XGB (Base),0.8698914116485686,0.9609759164329239,0.0,0.01837760799565627
7,Avg. Ensemble (Base),0.8739462063428342,0.9299893913274101,0.0,0.018471669951170624
7,ModernTCN (Base),0.8510212254705647,0.9082573589340207,0.0,0.04165186960051788
7,RF (Base),0.8619662363455809,0.9630114340818294,0.0,0.017600192159368054
7,UTAR (Proposed),0.8853540252182347,0.9762682602921646,0.0851449275362318,0.0238029241953855
7,XGB (Base),0.8708791208791209,0.9662543930792106,0.0,0.018399503941582174
8,Avg. Ensemble (Base),0.866933867735471,0.9265890957446807,0.0,0.01787180732674802
8,ModernTCN (Base),0.806269592476489,0.8387279949096659,0.0,0.040945601174308066
8,RF (Base),0.8641197321780228,0.9668692593316397,0.046536796536796536,0.01740640594181625
8,UTAR (Proposed),0.8687221252666278,0.9632892804698971,0.0754985754985755,0.0251640246852419
8,XGB (Base),0.86549940310386,0.9553595777007285,0.0754985754985755,0.018228535848169292
9,Avg. Ensemble (Base),0.8707729468599034,0.9296797865243496,0.0,0.018604642324594658
9,ModernTCN (Base),0.884607975341938,0.9460731644921975,0.38095238095238093,0.04271813963798478
9,RF (Base),0.8650573802928374,0.9701119792179166,0.0,0.01748151809247805
9,UTAR (Proposed),0.8899188876013905,0.9901509376429334,0.1483516483516483,0.0264556285878026
9,XGB (Base),0.8693417671476577,0.9605317191283294,0.08514492753623187,0.01835504145430444
