split,model,accuracy,precision,recall,f1,positive_rate_pred,positive_rate_true,n_samples,threshold,coverage,auc
val,RF_avgprob,0.8386917960088692,0.9628794909187326,0.805210643015521,0.8770150335084224,0.5973234082990181,0.7142857142857143,12628,0.38,1.0,0.8620348320558897
val,XGB_avgprob,0.8486696230598669,0.9662862390135117,0.816629711751663,0.8851769512708045,0.6036585365853658,0.7142857142857143,12628,0.312,1.0,0.9022971709824436
val,TCN_avgprob,0.860072853975293,0.9964407939767282,0.8069844789356985,0.891761102603369,0.5784764016471333,0.7142857142857143,12628,0.6839999999999999,1.0,0.9116342840005702
val,Ensemble_avgprob,0.8702882483370288,0.9890037095919448,0.8276053215077606,0.9011347175277644,0.5977193538169148,0.7142857142857143,12628,0.4586666666666666,1.0,0.8911624389752262
test_main,RF_avgprob,0.828,0.9710080285459411,0.7775,0.8635462118207061,0.5605,0.7,4000,0.38,1.0,0.9030333333333335
test_main,XGB_avgprob,0.83475,0.973859105006646,0.785,0.8692900929404785,0.56425,0.7,4000,0.312,1.0,0.9030541666666667
test_main,TCN_avgprob,0.7635,1.0,0.6621428571428571,0.7967339922647185,0.4635,0.7,4000,0.6839999999999999,1.0,0.8510970238095238
test_main,Ensemble_avgprob,0.8375,0.9981464318813716,0.7692857142857142,0.8688987494957644,0.5395,0.7,4000,0.4586666666666666,1.0,0.9178627976190477
test_cost,RF_avgprob,0.782,0.9547169811320755,0.7228571428571429,0.8227642276422764,0.53,0.7,500,0.38,1.0,0.8579523809523809
test_cost,XGB_avgprob,0.786,0.9584905660377359,0.7257142857142858,0.8260162601626017,0.53,0.7,500,0.312,1.0,0.8649333333333332
test_cost,TCN_avgprob,0.674,1.0,0.5342857142857143,0.6964618249534451,0.374,0.7,500,0.6839999999999999,1.0,0.7931809523809524
test_cost,Ensemble_avgprob,0.792,1.0,0.7028571428571428,0.825503355704698,0.492,0.7,500,0.4586666666666666,1.0,0.8716761904761905
