split,component,n_samples,total_latency_ms,avg_latency_ms_per_sample,device,measured_on_split,notes,seed
cost,Avg. Ensemble Stack,400,502.1424852589445,1.2553562131473612,cpu+mps,cost,rf+xgb+temporal,0.0
cost,Avg. Ensemble Stack,400,374.8266287710694,0.9370665719276735,cpu+mps,cost,rf+xgb+temporal,1.0
cost,Avg. Ensemble Stack,400,375.4521293510767,0.9386303233776917,cpu+mps,cost,rf+xgb+temporal,2.0
cost,Avg. Ensemble Stack,400,298.0112373438004,0.745028093359501,cpu+mps,cost,rf+xgb+temporal,3.0
cost,Avg. Ensemble Stack,400,323.2519153753346,0.8081297884383365,cpu+mps,cost,rf+xgb+temporal,4.0
cost,Avg. Ensemble Stack,400,315.0861296480455,0.7877153241201138,cpu+mps,cost,rf+xgb+temporal,5.0
cost,Avg. Ensemble Stack,400,278.1256789265343,0.6953141973163358,cpu+mps,cost,rf+xgb+temporal,6.0
cost,Avg. Ensemble Stack,400,255.51668807814863,0.6387917201953716,cpu+mps,cost,rf+xgb+temporal,7.0
cost,Avg. Ensemble Stack,400,255.71874633265608,0.6392968658316402,cpu+mps,cost,rf+xgb+temporal,8.0
cost,Avg. Ensemble Stack,400,284.30604846278715,0.7107651211569679,cpu+mps,cost,rf+xgb+temporal,9.0
cost,GraphAD+,400,16.52949652776038,0.04132374131940095,cpu,test_full,allocated from test_full per-sample average,
cost,ModernTCN Ensemble (10 seeds),400,29.33552628250992,0.0733388157062748,mps,test_full,allocated from test_full per-sample average,0.0
cost,ModernTCN Ensemble (10 seeds),400,26.517171760014214,0.06629292940003553,mps,test_full,allocated from test_full per-sample average,1.0
cost,ModernTCN Ensemble (10 seeds),400,27.42946334798731,0.06857365836996827,mps,test_full,allocated from test_full per-sample average,2.0
cost,ModernTCN Ensemble (10 seeds),400,27.746196337304248,0.06936549084326062,mps,test_full,allocated from test_full per-sample average,3.0
cost,ModernTCN Ensemble (10 seeds),400,27.267081350186263,0.06816770337546565,mps,test_full,allocated from test_full per-sample average,4.0
cost,ModernTCN Ensemble (10 seeds),400,23.59754665209249,0.05899386663023123,mps,test_full,allocated from test_full per-sample average,5.0
cost,ModernTCN Ensemble (10 seeds),400,23.718428924274924,0.059296072310687314,mps,test_full,allocated from test_full per-sample average,6.0
cost,ModernTCN Ensemble (10 seeds),400,24.13652106837403,0.06034130267093508,mps,test_full,allocated from test_full per-sample average,7.0
cost,ModernTCN Ensemble (10 seeds),400,24.527412338153876,0.06131853084538469,mps,test_full,allocated from test_full per-sample average,8.0
cost,ModernTCN Ensemble (10 seeds),400,27.106631448879355,0.06776657862219838,mps,test_full,allocated from test_full per-sample average,9.0
cost,RF Ensemble (10 seeds),400,466.23224997892976,1.1655806249473244,cpu,cost,,0.0
cost,RF Ensemble (10 seeds),400,341.0055410058703,0.8525138525146758,cpu,cost,,1.0
cost,RF Ensemble (10 seeds),400,341.234457999235,0.8530861449980875,cpu,cost,,2.0
cost,RF Ensemble (10 seeds),400,262.9784159944393,0.6574460399860982,cpu,cost,,3.0
cost,RF Ensemble (10 seeds),400,289.0258750121575,0.7225646875303937,cpu,cost,,4.0
cost,RF Ensemble (10 seeds),400,284.74866700707935,0.7118716675176984,cpu,cost,,5.0
cost,RF Ensemble (10 seeds),400,247.4263749900274,0.6185659374750685,cpu,cost,,6.0
cost,RF Ensemble (10 seeds),400,225.13633401831612,0.5628408350457903,cpu,cost,,7.0
cost,RF Ensemble (10 seeds),400,224.58758400171064,0.5614689600042766,cpu,cost,,8.0
cost,RF Ensemble (10 seeds),400,250.09116699220613,0.6252279174805153,cpu,cost,,9.0
cost,UTAR Base Stack,400,518.6719817867048,1.296679954466762,cpu+mps,cost,rf+xgb+temporal+graphad,0.0
cost,UTAR Base Stack,400,391.3561252988298,0.9783903132470745,cpu+mps,cost,rf+xgb+temporal+graphad,1.0
cost,UTAR Base Stack,400,391.98162587883706,0.9799540646970927,cpu+mps,cost,rf+xgb+temporal+graphad,2.0
cost,UTAR Base Stack,400,314.5407338715608,0.786351834678902,cpu+mps,cost,rf+xgb+temporal+graphad,3.0
cost,UTAR Base Stack,400,339.7814119030949,0.8494535297577372,cpu+mps,cost,rf+xgb+temporal+graphad,4.0
cost,UTAR Base Stack,400,331.6156261758059,0.8290390654395148,cpu+mps,cost,rf+xgb+temporal+graphad,5.0
cost,UTAR Base Stack,400,294.6551754542947,0.7366379386357367,cpu+mps,cost,rf+xgb+temporal+graphad,6.0
cost,UTAR Base Stack,400,272.046184605909,0.6801154615147724,cpu+mps,cost,rf+xgb+temporal+graphad,7.0
cost,UTAR Base Stack,400,272.24824286041644,0.6806206071510411,cpu+mps,cost,rf+xgb+temporal+graphad,8.0
cost,UTAR Base Stack,400,300.83554499054753,0.7520888624763689,cpu+mps,cost,rf+xgb+temporal+graphad,9.0
cost,XGB Ensemble (10 seeds),400,6.574708997504786,0.016436772493761964,cpu,cost,,0.0
cost,XGB Ensemble (10 seeds),400,7.303916005184874,0.018259790012962185,cpu,cost,,1.0
cost,XGB Ensemble (10 seeds),400,6.788208003854379,0.016970520009635948,cpu,cost,,2.0
cost,XGB Ensemble (10 seeds),400,7.286625012056902,0.018216562530142255,cpu,cost,,3.0
cost,XGB Ensemble (10 seeds),400,6.958959012990817,0.017397397532477044,cpu,cost,,4.0
cost,XGB Ensemble (10 seeds),400,6.73991598887369,0.016849789972184226,cpu,cost,,5.0
cost,XGB Ensemble (10 seeds),400,6.980875012231991,0.017452187530579977,cpu,cost,,6.0
cost,XGB Ensemble (10 seeds),400,6.243832991458476,0.015609582478646189,cpu,cost,,7.0
cost,XGB Ensemble (10 seeds),400,6.603749992791563,0.016509374981978908,cpu,cost,,8.0
cost,XGB Ensemble (10 seeds),400,7.108250021701679,0.017770625054254197,cpu,cost,,9.0
main,Avg. Ensemble Stack,4000,692.5877218468314,0.17314693046170784,cpu+mps,main,rf+xgb+temporal,0.0
main,Avg. Ensemble Stack,4000,819.9488426132029,0.20498721065330072,cpu+mps,main,rf+xgb+temporal,1.0
main,Avg. Ensemble Stack,4000,580.1761325016528,0.1450440331254132,cpu+mps,main,rf+xgb+temporal,2.0
main,Avg. Ensemble Stack,4000,562.8735043739823,0.14071837609349558,cpu+mps,main,rf+xgb+temporal,3.0
main,Avg. Ensemble Stack,4000,571.3723545054008,0.1428430886263502,cpu+mps,main,rf+xgb+temporal,4.0
main,Avg. Ensemble Stack,4000,534.1183835095063,0.1335295958773766,cpu+mps,main,rf+xgb+temporal,5.0
main,Avg. Ensemble Stack,4000,599.8883302201546,0.14997208255503863,cpu+mps,main,rf+xgb+temporal,6.0
main,Avg. Ensemble Stack,4000,583.4570446817238,0.14586426117043094,cpu+mps,main,rf+xgb+temporal,7.0
main,Avg. Ensemble Stack,4000,557.1042903998815,0.13927607259997038,cpu+mps,main,rf+xgb+temporal,8.0
main,Avg. Ensemble Stack,4000,590.1971474584702,0.14754928686461755,cpu+mps,main,rf+xgb+temporal,9.0
main,GraphAD+,4000,165.29496527760378,0.04132374131940095,cpu,test_full,allocated from test_full per-sample average,
main,ModernTCN Ensemble (10 seeds),4000,293.3552628250992,0.0733388157062748,mps,test_full,allocated from test_full per-sample average,0.0
main,ModernTCN Ensemble (10 seeds),4000,265.17171760014213,0.06629292940003553,mps,test_full,allocated from test_full per-sample average,1.0
main,ModernTCN Ensemble (10 seeds),4000,274.2946334798731,0.06857365836996827,mps,test_full,allocated from test_full per-sample average,2.0
main,ModernTCN Ensemble (10 seeds),4000,277.46196337304247,0.06936549084326062,mps,test_full,allocated from test_full per-sample average,3.0
main,ModernTCN Ensemble (10 seeds),4000,272.6708135018626,0.06816770337546565,mps,test_full,allocated from test_full per-sample average,4.0
main,ModernTCN Ensemble (10 seeds),4000,235.9754665209249,0.05899386663023123,mps,test_full,allocated from test_full per-sample average,5.0
main,ModernTCN Ensemble (10 seeds),4000,237.18428924274923,0.05929607231068731,mps,test_full,allocated from test_full per-sample average,6.0
main,ModernTCN Ensemble (10 seeds),4000,241.36521068374032,0.06034130267093508,mps,test_full,allocated from test_full per-sample average,7.0
main,ModernTCN Ensemble (10 seeds),4000,245.27412338153874,0.06131853084538469,mps,test_full,allocated from test_full per-sample average,8.0
main,ModernTCN Ensemble (10 seeds),4000,271.0663144887935,0.06776657862219838,mps,test_full,allocated from test_full per-sample average,9.0
main,RF Ensemble (10 seeds),4000,378.0380840180442,0.09450952100451104,cpu,main,,0.0
main,RF Ensemble (10 seeds),4000,544.1946250211913,0.13604865625529783,cpu,main,,1.0
main,RF Ensemble (10 seeds),4000,294.80041601345874,0.07370010400336469,cpu,main,,2.0
main,RF Ensemble (10 seeds),4000,275.2373749972321,0.06880934374930803,cpu,main,,3.0
main,RF Ensemble (10 seeds),4000,287.52454099594615,0.07188113524898654,cpu,main,,4.0
main,RF Ensemble (10 seeds),4000,286.57120899879374,0.07164280224969843,cpu,main,,5.0
main,RF Ensemble (10 seeds),4000,320.1337499776855,0.08003343749442138,cpu,main,,6.0
main,RF Ensemble (10 seeds),4000,326.8566250044387,0.08171415625110967,cpu,main,,7.0
main,RF Ensemble (10 seeds),4000,300.5719590000808,0.0751429897500202,cpu,main,,8.0
main,RF Ensemble (10 seeds),4000,308.1248329835944,0.0770312082458986,cpu,main,,9.0
main,UTAR Base Stack,4000,857.8826871244352,0.2144706717811088,cpu+mps,main,rf+xgb+temporal+graphad,0.0
main,UTAR Base Stack,4000,985.2438078908068,0.2463109519727017,cpu+mps,main,rf+xgb+temporal+graphad,1.0
main,UTAR Base Stack,4000,745.4710977792566,0.18636777444481417,cpu+mps,main,rf+xgb+temporal+graphad,2.0
main,UTAR Base Stack,4000,728.1684696515862,0.18204211741289655,cpu+mps,main,rf+xgb+temporal+graphad,3.0
main,UTAR Base Stack,4000,736.6673197830047,0.18416682994575118,cpu+mps,main,rf+xgb+temporal+graphad,4.0
main,UTAR Base Stack,4000,699.4133487871101,0.1748533371967775,cpu+mps,main,rf+xgb+temporal+graphad,5.0
main,UTAR Base Stack,4000,765.1832954977584,0.1912958238744396,cpu+mps,main,rf+xgb+temporal+graphad,6.0
main,UTAR Base Stack,4000,748.7520099593276,0.1871880024898319,cpu+mps,main,rf+xgb+temporal+graphad,7.0
