dataset,q,seed,f1,recall,precision,roc_auc,gray_ratio,llm_call_rate,shortcut_filter_rate,xgb_shortcut_rate,instability,worst_case_recall,prr,ensemble_entropy_mean,model_discrepancy_mean,llm_calls,billed_llm_calls,cache_hits,cache_hit_rate,prompt_tokens,completion_tokens,total_tokens,cost_usd,avg_cost_per_call_usd,billed_prompt_tokens,billed_completion_tokens,billed_total_tokens,billed_cost_usd,billed_avg_cost_per_call_usd,llm_only_latency_ms,llm_only_avg_latency_ms_per_sample,billed_llm_only_latency_ms,billed_llm_only_avg_latency_ms_per_sample,uses_actual_api_usage,base_latency_ms,routing_feature_latency_ms,routing_overhead_ms,mode_wall_latency_ms,total_latency_ms,avg_latency_ms_per_sample,tau,gray_margin,entropy_threshold,discrepancy_threshold,mode
cost,0.4,0,0.8175182481751825,0.8,0.835820895522388,0.7166666666666666,1.0,1.0,0.0,0.0,,,0.9590643274853802,0.49857324383366847,0.11538102539897566,400,2,398,0.995,703051,3068,706119,0.10729845,0.000268246125,3519,16,3535,0.00053745,0.000268725,385369.9330380296,963.424832595074,1731.0321250042762,4.32758031251069,True,342.7732652826001,3.5506670028553344,0.0,2848.858208002639,385716.25697031507,964.2906424257876,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,full_llm
cost,0.4,0,0.8559837728194726,0.7535714285714286,0.9906103286384976,0.9026636904761904,0.2525,0.0,0.17,0.17,,,0.898745773597023,0.49857324383366847,0.11538102539897566,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,342.7732652826001,3.5506670028553344,3.479833001620136,3.479833001620136,349.8037652870756,0.8745094132176889,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,no_llm
cost,0.4,1,0.8414634146341463,0.7392857142857143,0.9764150943396226,0.8797767857142857,0.26,0.0,0.1775,0.1775,,,0.8768385460693153,0.48392843398109575,0.10403045488676382,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,342.7732652826001,5.890332999115344,2.639457998157013,2.639457998157013,351.30305627987246,0.8782576406996812,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,no_llm
cost,0.4,2,0.8360655737704918,0.7285714285714285,0.9807692307692307,0.8969791666666667,0.245,0.0,0.1675,0.1675,,,0.8662950548001958,0.4864689828602192,0.11020394546744988,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,342.7732652826001,4.622166998160537,1.9093750015599653,1.9093750015599653,349.3048072823206,0.8732620182058015,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,no_llm
cost,0.4,3,0.8414634146341463,0.7392857142857143,0.9764150943396226,0.8925000000000001,0.25,0.0,0.195,0.195,,,0.877993040534186,0.47898058805115007,0.10762440015687477,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,342.7732652826001,4.182374999800231,1.8106659990735352,1.8106659990735352,348.7663062814739,0.8719157657036847,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,no_llm
cost,0.4,4,0.8459958932238193,0.7357142857142858,0.9951690821256038,0.9017857142857142,0.225,0.0,0.1775,0.1775,,,0.8787265435835352,0.4774121024750083,0.10694191373632639,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,342.7732652826001,3.8804169962531887,1.6062499998952262,1.6062499998952262,348.2599322787485,0.8706498306968713,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,no_llm
cost,0.4,5,0.8537074148296593,0.7607142857142857,0.9726027397260274,0.9113095238095238,0.24,0.0,0.1825,0.1825,,,0.874428808097726,0.4838849634484194,0.10517426944142849,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,342.7732652826001,3.803874998993706,1.470625000365544,1.470625000365544,348.04776528195936,0.8701194132048984,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,no_llm
cost,0.4,6,0.8388429752066116,0.725,0.9950980392156863,0.880922619047619,0.2575,0.0,0.2075,0.2075,,,0.8676529122993233,0.4720251510670698,0.10682966283566397,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,342.7732652826001,3.3203329949174076,1.4187499982654117,1.4187499982654117,347.5123482757829,0.8687808706894573,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,no_llm
cost,0.4,7,0.8418891170431212,0.7321428571428571,0.9903381642512077,0.8981250000000001,0.2425,0.0,0.1825,0.1825,,,0.8728427929458857,0.4764959842647511,0.10637954951995215,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,342.7732652826001,3.2129160026670434,1.6197919976548292,1.6197919976548292,347.605973282922,0.8690149332073049,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,no_llm
cost,0.4,8,0.8298755186721992,0.7142857142857143,0.9900990099009901,0.8839136904761905,0.2225,0.0,0.175,0.175,,,0.8574470512186776,0.49358239106151786,0.11422798576130176,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,342.7732652826001,2.9307500008144416,1.4120830019237474,1.4120830019237474,347.1160982853383,0.8677902457133457,0.4100000000000001,0.2281822239561854,0.7564255001576456,1.0,no_llm
