Component,Parameter,Value
RF,n_estimators,300
RF,min_samples_split,2
RF,min_samples_leaf,1
XGB,n_estimators,400
XGB,max_depth,6
XGB,learning_rate,0.05
XGB,subsample,0.9
XGB,colsample_bytree,0.9
XGB,reg_lambda,1.0
ModernTCN,architecture,modern_tcn
ModernTCN,window_size,50
ModernTCN,stride,1
ModernTCN,channels,"64,96,128"
ModernTCN,dilations,"1,2,4"
ModernTCN,kernel_size,3
ModernTCN,dropout,0.1
ModernTCN,expansion_ratio,2
ModernTCN,pool,avg
ModernTCN,batch_size,64
ModernTCN,inference_batch_size,512
ModernTCN,epochs,25
ModernTCN,lr,0.0005
ModernTCN,weight_decay,0.0001
GraphAD+,corr_threshold,0.7
GraphAD+,alpha,0.3
GraphAD+,top_k,5
GraphAD+,lambda_z,0.4
GraphAD+,lambda_tr,0.3
GraphAD+,lambda_fl,0.3
UTAR,q_grid,"0.20,0.40,0.60,0.65,0.70,0.75,0.80,0.85,0.90"
UTAR,sigmoid_gain,5.0
UTAR,entropy_shortcut_quantile,0.8
UTAR,discrepancy_shortcut_quantile,0.8
