q,Method,Gray Ratio,Acc (Gray),Prec (Gray),Rec (Gray),F1 (Gray),AUC (Gray)
0.6,UTAR (No-LLM),0.7664 ± 0.2139,0.7988 ± 0.0973,0.9070 ± 0.1010,0.7221 ± 0.2496,0.7910 ± 0.2186,0.8322 ± 0.1467
0.6,Selective Routing,0.7664 ± 0.2139,0.7902 ± 0.0982,0.9223 ± 0.0910,0.6934 ± 0.2656,0.7727 ± 0.2423,0.8305 ± 0.1534
0.65,UTAR (No-LLM),0.7900 ± 0.2125,0.7971 ± 0.0912,0.9070 ± 0.1010,0.7126 ± 0.2494,0.7848 ± 0.2205,0.8339 ± 0.1365
0.65,Selective Routing,0.7900 ± 0.2125,0.7888 ± 0.0919,0.9223 ± 0.0910,0.6846 ± 0.2648,0.7665 ± 0.2438,0.8295 ± 0.1489
0.7,UTAR (No-LLM),0.8096 ± 0.2123,0.7916 ± 0.0916,0.9086 ± 0.0974,0.7035 ± 0.2478,0.7791 ± 0.2205,0.8271 ± 0.1394
0.7,Selective Routing,0.8096 ± 0.2123,0.7835 ± 0.0922,0.9241 ± 0.0869,0.6763 ± 0.2617,0.7614 ± 0.2424,0.8246 ± 0.1493
0.75,UTAR (No-LLM),0.8252 ± 0.2109,0.7898 ± 0.0847,0.9142 ± 0.0850,0.7021 ± 0.2320,0.7817 ± 0.2037,0.8275 ± 0.1262
0.75,Selective Routing,0.8252 ± 0.2109,0.7819 ± 0.0852,0.9303 ± 0.0732,0.6756 ± 0.2449,0.7652 ± 0.2229,0.8250 ± 0.1384
0.8,UTAR (No-LLM),0.8412 ± 0.2064,0.7896 ± 0.0790,0.9177 ± 0.0773,0.7003 ± 0.2227,0.7825 ± 0.1941,0.8299 ± 0.1159
0.8,Selective Routing,0.8412 ± 0.2064,0.7819 ± 0.0794,0.9339 ± 0.0651,0.6743 ± 0.2346,0.7668 ± 0.2115,0.8263 ± 0.1301
0.85,UTAR (No-LLM),0.8540 ± 0.2068,0.7857 ± 0.0790,0.9177 ± 0.0773,0.6930 ± 0.2233,0.7774 ± 0.1961,0.8246 ± 0.1177
0.85,Selective Routing,0.8540 ± 0.2068,0.7781 ± 0.0793,0.9339 ± 0.0651,0.6675 ± 0.2347,0.7618 ± 0.2133,0.8220 ± 0.1313
0.9,UTAR (No-LLM),0.8668 ± 0.2095,0.7814 ± 0.0780,0.9177 ± 0.0773,0.6855 ± 0.2221,0.7725 ± 0.1965,0.8191 ± 0.1176
0.9,Selective Routing,0.8668 ± 0.2095,0.7740 ± 0.0782,0.9339 ± 0.0651,0.6604 ± 0.2332,0.7568 ± 0.2135,0.8175 ± 0.1308
