seed,tau,f1,recall,precision,roc_auc
0,0.44000000000000006,0.889925042790533,0.8358093126385809,0.951533510034078,0.8847839673846245
1,0.4200000000000001,0.8979206049149339,0.8425720620842572,0.9610520991401112,0.8907669763177173
2,0.4200000000000001,0.8998574483250178,0.8398004434589801,0.9691658137154555,0.8958304039803148
3,0.4200000000000001,0.8988098762508141,0.8414634146341463,0.9645444147922226,0.8953279175126966
4,0.39000000000000007,0.8948456042982819,0.8401330376940133,0.9571807502841986,0.8941360600488689
5,0.4700000000000001,0.909112054428098,0.8666297117516629,0.9559740736211324,0.9073609827385312
6,0.4600000000000001,0.8969109195402298,0.8304878048780487,0.9748828735033837,0.8945258381227231
7,0.4100000000000001,0.8998037699946483,0.8388026607538802,0.9703732204694113,0.8949877950452554
8,0.44000000000000006,0.8956080071706005,0.830820399113082,0.9713545042125729,0.8923084203125845
9,0.4100000000000001,0.8947868424177651,0.8353658536585366,0.9633086167220659,0.8907874715463543
